_id,pin,block_lot,filing_date,case_id,municipality,ward,docket_type,amount,plaintiff
1,1222S00215000000,1222S215,2009-01-02,GD-09-000087,Tarentum Boro,,Sheriff Return,61821.09,Beneficial Consumer Discount Company
2,1127N00019000000,1127N19,2009-01-02,GD-09-000093,Elizabeth Township,,Praecipe to Substitute,24531.41,National City Real Estate Services LLC
3,0690C00043000000,690C43,2009-01-02,GD-09-000110,N. Fayette Township,,Sheriff Return,21787.83,JPMorgan Chase Bank National Association
4,1414S00194000000,1414S194,2009-01-02,GD-09-000111,Elizabeth Township,,Certificate-Recorder of Deeds,63072.46,JPMorgan Chase Bank National Association
5,0131D00016000000,131D16,2009-01-02,GD-09-000112,Homestead Boro,,Default Judgment,63693.1,Deutsche Bank National Trust Company
6,0373A00074000000,373A74,2009-01-02,GD-09-000113,Forest Hills Boro,,Discontinued without Prejudice,145275.38,Deutsche Bank National Trust Company
7,0015A00216000000,15A216,2009-01-05,GD-09-000115,Pittsburgh,19,Sheriff Return,73179.14,National City Bank
8,0042N00250000000,42N250,2009-01-05,GD-09-000153,Pittsburgh,20,Correction to Judgment Index,66227.57,First Franklin Financial Corporation
9,0640G00285000000,640G285,2009-01-05,GD-09-000158,Monroeville Boro,,Discontinued without Prejudice,91456.8,Bank of America N.A.
10,0131C00192000000,131C192,2009-01-05,GD-09-000162,Homestead Boro,,Case Terminated,34550.95,Nationstar Mortgage LLC
11,0081D00058000000,81D58,2009-01-05,GD-09-000165,Pittsburgh,10,Discontinued without Prejudice,187507.55,US Bank N.A.
12,0373B00083000000,373B83,2009-01-05,GD-09-000167,Forest Hills Boro,,Default Judgment,59882.22,Deutsche Bank National Trust Company
13,0637G00358000000,637G358,2009-01-05,GD-09-000172,Monroeville Boro,,Discontinued without Prejudice,122433.66,Bank of New York Mellon
14,0306H00210000000,306H210,2009-01-05,GD-09-000179,City of Duquesne,3,Sheriff Return,43391.94,LaSalle Bank National Association
15,0092R00050000000,92R50,2009-01-05,GD-09-000186,Baldwin Boro,,Sheriff Return,42491.2,U.S. Bank N.A.
16,0033L00333000000,33L333,2009-01-05,GD-09-000188,Mt. Oliver Boro,,Certificate-Recorder of Deeds,71372.68,JPMorgan Chase Bank N.A.
17,0555J00231000000,555J231,2009-01-05,GD-09-000190,Liberty Boro,,Sheriff Return,76539.93,RBS Citizens N.A.
18,0177R00076000000,177R76,2009-01-05,GD-09-000194,Swissvale Boro,,Sheriff Return,77889.11,HSBC Bank USA N.A.
19,0192D00176000000,192D176,2009-01-05,GD-09-000232,Mt. Lebanon Township,,Case Terminated,98224.75,Chase Home Finance LLC
20,0032B00300000000,32B300,2009-01-05,GD-09-000242,Pittsburgh,16,Sheriff Return,70782.33,Wachovia Bank National Association
21,0082E00113000000,82E113,2009-01-06,GD-09-000287,Pittsburgh,10,Sheriff Return,0.0,Wells Fargo Bank N.A.
22,0637L00209000000,637L209,2009-01-06,GD-09-000291,Monroeville Boro,,Sheriff Return,77434.5,Household Finance Consumer Discount
23,0249B00159000000,249B159,2009-01-06,GD-09-000296,Castle Shannon Boro,,Discontinued without Prejudice,154502.47,Deutsche Bank National Trust Company
24,0178G00056000000,178G56,2009-01-06,GD-09-000329,Swissvale Boro,,Sheriff Return,81922.7,Wells Fargo Bank National Association
25,0003R00304000000,3R304,2009-01-06,GD-09-000367,Pittsburgh,18,Sheriff Return,27451.39,JP Morgan Chase Bank N.A.
26,0084K00204000000,84K204,2009-01-07,GD-09-000404,Pittsburgh,7,Sheriff Return,85923.82,National City Real Estate Services LLC
27,0811E00287000000,811E287,2009-01-07,GD-09-000427,Crescent Township,,Sheriff Return,146755.12,Citimortgage Inc.
28,1103D00346000000,1103D346,2009-01-07,GD-09-000430,Plum Boro,,Sheriff Return,291660.16,U.S. Bank National Association
29,0319F00069000000,319F69,2009-01-07,GD-09-000436,Upper St. Clair Twp.,,Argument Scheduled,216392.08,Bank United FSB
30,0647C00011000000,647C11,2009-01-07,GD-09-000447,White Oak Boro,,Settled and Discontinued,521553.24,S & T Bank
31,0349D00118000000,349D118,2009-01-07,GD-09-000448,Ross Township,,Settled and Discontinued,102817.72,HSBC Bank USA
32,0081C00144000000,81C144,2009-01-07,GD-09-000449,Pittsburgh,10,Settled and Discontinued,70915.61,National City Mortgage Company
33,0203M00069000000,203M69,2009-01-07,GD-09-000451,Robinson Township,,Sheriff Return,71013.06,Wells Fargo Bank N.A.
34,0098K00156000000,98K156,2009-01-07,GD-09-000457,Mt. Lebanon Township,,Sheriff Return,129292.07,National City Mortgage Company
35,0039J00292000000,39J292,2009-01-07,GD-09-000460,Pittsburgh,28,Sheriff Return,75269.04,Citimortgage Inc.
36,0350N00131000000,350N131,2009-01-07,GD-09-000472,West View Boro,,Default Judgment,136110.07,Deutsche Bank National Trust Company
37,0539B00367000000,539B367,2009-01-07,GD-09-000480,Penn Hills Township,,Case Terminated,80851.55,HSBC Mortgage Services Inc.
38,0229R00167000000,229R167,2009-01-07,GD-09-000483,Penn Hills Township,,Sheriff Return,62658.68,Citimortgage Inc.
39,0083C00291000000,83C291,2009-01-07,GD-09-000487,Pittsburgh,11,Sheriff Return,168199.58,Bank of New York Mellon
40,0083C00292000000,83C292,2009-01-07,GD-09-000487,Pittsburgh,11,Sheriff Return,168199.58,Bank of New York Mellon
41,0667J00025000000,667J25,2009-01-07,GD-09-000488,Bethel Park Boro,,Sheriff Return,149581.61,HSBC Mortgage Services Inc.
42,0627H00123000000,627H123,2009-01-07,GD-09-000489,Springdale Boro,,Sheriff Return,126808.01,HSBC Mortgage Services Inc.
43,0095E00026000000,95E26,2009-01-07,GD-09-000490,Pittsburgh,32,Sheriff Return,44718.42,National City Mortgage Company
44,0370C00174000000,370C174,2009-01-07,GD-09-000491,Penn Hills Township,,Sheriff Return,122916.61,State Farm Bank FSB
45,0714F00396000000,714F396,2009-01-07,GD-09-000492,McCandless Township,,Correction to Judgment Index,158254.26,Wells Fargo Bank N.A.
46,9946X88250000000,9946X88250,2009-01-07,GD-09-000493,S. Fayette Township,,Correction to Judgment Index,206600.06,National City Real Estate Services LLC
47,0634M00039000000,634M39,2009-01-07,GD-09-000494,Penn Hills Township,,Sheriff Return,72071.87,Countrywide Home Loans Inc.
48,0698C00184000000,698C184,2009-01-07,GD-09-000495,Moon Township,,Sheriff Return,41997.8,Wells Fargo Bank N.A.
49,1239E00235000000,1239E235,2009-01-07,GD-09-000496,Plum Boro,,Sheriff Return,109773.88,Wells Fargo Bank N.A.
50,0429D00109000000,429D109,2009-01-07,GD-09-000497,Ross Township,,Sheriff Return,52012.06,Sovereign Bank
51,0069F00188000000,69F188,2009-01-08,GD-09-000503,Crafton Boro,,Certificate-Recorder of Deeds,0.0,Deutsche Bank National Trust Company
52,0135E00112000000,135E112,2009-01-08,GD-09-000514,Baldwin Boro,,Withdrawal/Entry of Appearance,153638.56,Citimortgage Inc.
53,0305M00082000000,305M82,2009-01-08,GD-09-000515,City of Duquesne,2,Correction to Judgment Index,72213.21,Bank of America N.A.
54,1224C00220000000,1224C220,2009-01-08,GD-09-000516,Brackenridge Boro,,Sheriff Return,87920.97,US Bank N.A.
55,0179N00094000000,179N94,2009-01-08,GD-09-000526,Munhall Boro,,Sheriff Return,20228.36,JPMorgan Chase Bank National Association
56,0075B00046000000,75B46,2009-01-08,GD-09-000543,Pittsburgh,27,Sheriff Return,24617.54,Wells Fargo Bank N.A.
57,0310E00206000000,310E206,2009-01-08,GD-09-000560,West Mifflin Boro,,Settled and Discontinued,83148.61,U.S. Bank N.A. N.D.
58,0634N00349000000,634N349,2009-01-08,GD-09-000562,Penn Hills Township,,Certificate-Recorder of Deeds,116392.93,S & T Bank
59,0188D00051000000,188D51,2009-01-08,GD-09-000572,Brentwood Boro,,Sheriff Return,90565.38,Chase Home Finance LLC
60,0364G00046000000,364G46,2009-01-08,GD-09-000573,Verona Boro,,Sheriff Return,65657.01,Wells Fargo Bank N.A.
61,0713G00555001600,713G555 16,2009-01-08,GD-09-000574,McCandless Township,,Case Terminated,35905.9,Wells Fargo Bank N.A.
62,1671C00028000000,1671C28,2009-01-08,GD-09-000576,West Deer Township,,Sheriff Return,105120.12,U.S. Bank National Association
63,0140L00142000000,140L142,2009-01-08,GD-09-000577,Baldwin Boro,,Sheriff's Deed,103940.21,LaSalle Bank National Association as trustee
64,0704F00288000000,704F288,2009-01-08,GD-09-000579,Leetsdale Boro,,Default Judgment,71999.09,Bank of New York Mellon Trust Company
65,0045E00213000000,45E213,2009-01-08,GD-09-000581,Pittsburgh,27,Case Terminated,56798.97,Deutsche Bank National Trust Company
66,0397L00174000000,397L174,2009-01-09,GD-09-000595,Upper St. Clair Twp.,,Discontinued without Prejudice,121372.87,Countrywide Home Loans Servicing L.P.
67,0373P00290000000,373P290,2009-01-09,GD-09-000605,Forest Hills Boro,,Certificate-Recorder of Deeds,93366.94,Wells Fargo Bank N.A.
68,0144H00030000000,144H30,2009-01-09,GD-09-000608,Scott Township,,Order of Court,120526.88,Commonwealth United Mortgage
69,0233F00188000000,233F188,2009-01-09,GD-09-000609,Wilkinsburg Boro,,Case Terminated,38025.04,U.S. Bank National Associaiton as trustee
